time_stamp,node,light,sound,temp,smoke,corrected_smoke,label
23:01:16,1,1002,481,618,143,843,fire_dying
23:01:17,1,1001,488,618,105,805,fire_dying
23:01:18,1,1002,491,617,94,794,fire_dying
23:01:19,1,1002,469,616,3,703,fire_dying
23:01:20,1,1001,491,615,,,fire_dying
23:01:21,1,,,,,,fire_dying
23:01:22,1,1000,491,613,2,702,fire_dying
23:01:23,1,1001,505,612,1,701,fire_dying
23:01:24,1,1002,490,613,4,704,fire_dying
23:01:25,1,1000,498,611,3,703,fire_dying
23:01:26,1,1002,509,611,5,705,fire_dying
23:01:27,1,1001,492,610,1,701,fire_dying
23:01:28,1,1002,496,609,,,fire_dying
23:01:29,1,,,,,,fire_dying
23:01:30,1,1000,499,608,3,703,fire_dying
23:01:31,1,,,,,,fire_dying
23:01:32,1,1001,469,607,1,701,fire_dying
23:01:33,1,1001,440,607,3,703,fire_dying
23:01:34,1,1001,497,606,2,702,fire_dying
23:01:35,1,1000,495,606,2,702,fire_dying
