Time_Stamp,node_1,light_1,sound_1,temperature_1,smoke_1,sum 
22:53:33,10,999,491,617,932,3039
22:53:34,10,999,493,617,964,3073
22:53:35,10,999,496,617,905,3017
22:53:36,10,999,496,618,823,2936
22:53:37,10,1001,494,622,852,2969
22:53:38,10,1000,494,625,872,2991
22:53:39,10,999,494,627,871,2991
22:53:40,10,999,494,625,917,3035
22:53:41,10,999,493,625,918,3035
22:53:42,10,999,491,625,851,2966
22:53:43,10,999,485,625,856,2965
22:53:44,10,999,494,623,937,3053
22:53:45,10,998,494,623,864,2979
22:53:46,10,999,494,622,908,3023
22:53:47,10,999,490,621,934,3044
22:53:48,10,999,488,621,881,2989
22:53:49,10,999,492,620,879,2990
22:53:50,10,999,492,620,863,2974
22:53:51,10,0,0,0,0,0
22:53:52,10,1000,510,619,804,2933
22:53:53,10,999,488,617,870,2974
22:53:54,10,999,493,617,874,2983
22:53:55,10,999,494,616,849,2958
22:53:56,10,999,495,615,957,3066
22:53:57,10,999,495,614,869,2977
22:53:58,10,999,490,614,901,3004
22:53:59,10,999,496,613,845,2953
22:54:00,10,999,499,612,853,2963
22:54:01,10,999,492,610,849,2950
22:54:02,10,999,488,609,907,3003
22:54:03,10,1000,467,609,757,2833
22:54:04,10,1000,497,607,786,2890
22:54:05,10,999,493,607,840,2939
22:54:06,10,999,495,606,878,2978
22:54:07,10,1000,490,605,874,2969
22:54:08,10,1000,498,605,866,2969
22:54:09,10,1000,487,605,865,2957
22:54:10,10,999,495,604,866,2964
22:54:11,10,999,499,603,811,2912
22:54:12,10,999,487,602,832,2920
22:54:13,10,1000,496,602,931,3029
22:54:14,10,999,489,602,837,2927
22:54:15,10,999,507,603,892,3001
22:54:16,10,999,486,604,889,2978
22:54:17,10,1000,486,605,837,2928
22:54:18,10,999,497,606,853,2955
22:54:19,10,999,487,607,902,2995
22:54:20,10,999,498,608,833,2938
22:54:21,10,999,480,608,879,2966
22:54:22,10,999,502,609,872,2982
22:54:23,10,1000,497,609,941,3047
22:54:24,10,999,491,610,922,3022
22:54:25,10,1000,500,611,872,2983
22:54:26,10,999,490,611,921,3021
22:54:27,10,999,486,610,800,2895
22:54:28,10,999,495,609,897,3000
22:54:29,10,999,495,608,889,2991
22:54:30,10,1000,495,609,887,2991
22:54:31,10,0,0,0,0,0
22:54:32,10,999,478,607,997,3081
22:54:33,10,999,497,606,841,2943
22:54:34,10,999,489,605,877,2970
22:54:35,10,999,481,605,915,3000
22:54:36,10,999,491,604,948,3042
22:54:37,10,999,490,602,899,2990
22:54:38,10,999,501,601,902,3003
22:54:39,10,1000,491,601,767,2859
22:54:40,10,999,487,600,904,2990
22:54:41,10,999,488,600,854,2941
22:54:42,10,999,480,600,922,3001
22:54:43,10,999,490,599,858,2946
22:54:44,10,999,485,599,843,2926
22:54:45,10,999,501,599,769,2868
22:54:46,10,999,496,598,950,3043
22:54:47,10,999,497,598,931,3025
22:54:48,10,999,490,597,930,3016
22:54:49,10,999,492,596,837,2924
22:54:50,10,999,490,596,865,2950
22:54:51,10,999,497,595,915,3006
22:54:52,10,999,492,594,839,2924
22:54:53,10,1000,489,600,923,3012
22:54:54,10,999,490,599,902,2990
22:54:55,10,999,495,599,903,2996
22:54:56,10,998,496,599,861,2954
22:54:57,10,998,496,598,852,2944
22:54:58,10,997,492,598,836,2923
22:54:59,10,998,487,598,884,2967
22:55:00,10,999,505,598,979,3081
22:55:01,10,999,500,598,822,2919
22:55:02,10,1000,498,598,899,2995
22:55:03,10,999,492,597,828,2916
22:55:04,10,999,499,597,905,3000
22:55:05,10,1000,501,597,828,2926
22:55:06,10,1000,495,597,878,2970
22:55:07,10,0,0,0,0,0
22:55:08,10,1000,493,596,908,2997
22:55:09,10,1000,498,596,796,2890
22:55:10,10,1000,487,596,909,2992
22:55:11,10,1000,481,595,880,2956
22:55:12,10,1000,494,595,879,2968
22:55:13,10,1000,493,595,837,2925
22:55:14,10,1000,491,595,872,2958
22:55:15,10,0,0,0,0,0
22:55:16,10,1000,491,595,859,2945
22:55:17,10,1000,501,595,892,2988
22:55:18,10,1000,496,594,839,2929
22:55:19,10,1000,490,593,814,2897
22:55:20,10,0,0,0,0,0
22:55:21,10,1000,491,596,877,2964
22:55:22,10,1000,486,597,844,2927
22:55:23,10,1000,486,597,861,2944
22:55:24,10,1000,499,599,873,2971
22:55:25,10,1000,496,597,888,2981
22:55:26,10,1000,493,597,828,2918
22:55:27,10,1000,507,597,895,2999
22:55:28,10,1000,504,597,854,2955
22:55:29,10,1000,498,595,873,2966
22:55:30,10,1000,485,594,882,2961
22:55:31,10,0,0,0,0,0
22:55:32,10,1000,505,592,937,3034
22:55:33,10,999,499,592,855,2945
22:55:34,10,1000,499,590,884,2973
22:55:35,10,999,495,589,886,2969
22:55:36,10,999,510,588,836,2933
22:55:37,10,1000,500,588,836,2924
22:55:38,10,999,493,587,880,2959
22:55:39,10,1000,499,587,868,2954
22:55:40,10,1000,497,587,932,3016
22:55:41,10,1000,495,586,897,2978
22:55:42,10,999,485,585,915,2984
22:55:43,10,999,502,584,867,2952
22:55:44,10,1000,477,584,924,2985
22:55:45,10,1000,489,583,812,2884
22:55:46,10,1000,478,582,936,2996
22:55:47,10,1000,501,582,892,2975
22:55:48,10,1000,486,581,819,2886
22:55:49,10,1000,490,581,961,3032
22:55:50,10,1000,488,580,898,2966
22:55:51,10,999,487,579,846,2911
22:55:52,10,1000,494,578,928,3000
22:55:53,10,1000,480,578,829,2887
22:55:54,10,999,499,577,865,2940
22:55:55,10,1000,494,576,772,2842
22:55:56,10,1000,494,576,822,2892
22:55:57,10,999,484,575,927,2985
22:55:58,10,1000,498,575,949,3022
22:55:59,10,1000,490,575,886,2951
22:56:00,10,1000,483,575,876,2934
22:56:01,10,1000,499,575,829,2903
22:56:02,10,1000,496,574,838,2908
22:56:03,10,1000,500,574,805,2879
22:56:04,10,999,494,574,850,2917
22:56:05,10,1000,484,574,962,3020
22:56:06,10,999,488,573,760,2820
22:56:07,10,999,489,573,952,3013
22:56:08,10,999,492,572,841,2904
22:56:09,10,999,490,572,877,2938
22:56:10,10,999,499,572,805,2875
22:56:11,10,0,0,0,0,0
22:56:12,10,999,491,572,771,2833
22:56:13,10,999,492,571,884,2946
22:56:14,10,999,495,571,887,2952
22:56:15,10,999,488,572,869,2928
22:56:16,10,999,501,571,912,2983
22:56:17,10,999,487,571,860,2917
22:56:18,10,999,501,572,471,2543
22:56:19,10,999,481,572,459,2511
22:56:20,10,999,493,572,405,2469
22:56:21,10,0,0,0,0,0
22:56:22,10,999,497,574,541,2611
22:56:23,10,999,498,574,652,2723
22:56:24,10,999,489,575,500,2563
22:56:25,10,999,493,575,682,2749
22:56:26,10,999,490,575,472,2536
22:56:27,10,999,486,576,647,2708
22:56:28,10,1000,484,576,330,2390
22:56:29,10,999,493,577,501,2570
22:56:30,10,999,491,578,481,2549
22:56:31,10,999,488,578,511,2576
22:56:32,10,999,487,578,565,2629
22:56:33,10,1000,492,579,552,2623
22:56:34,10,1000,494,579,507,2580
22:56:35,10,1000,490,578,589,2657
22:56:36,10,1000,497,578,500,2575
22:56:37,10,1000,487,579,383,2449
22:56:38,10,1000,490,579,542,2611
22:56:39,10,1000,498,579,563,2640
22:56:40,10,999,492,580,431,2502
22:56:41,10,1000,496,580,409,2485
22:56:42,10,1000,490,580,513,2583
22:56:43,10,1000,491,581,589,2661
22:56:44,10,999,493,581,620,2693
22:56:45,10,999,493,581,546,2619
22:56:46,10,999,486,582,549,2616
22:56:47,10,999,490,583,488,2560
22:56:48,10,1000,498,585,301,2384
22:56:49,10,999,492,586,486,2563
22:56:50,10,999,493,586,509,2587
22:56:51,10,1000,490,587,606,2683
22:56:52,10,999,498,587,565,2649
22:56:53,10,999,493,587,551,2630
22:56:54,10,999,492,587,454,2532
22:56:55,10,999,491,587,584,2661
22:56:56,10,999,496,588,554,2637
22:56:57,10,999,486,588,592,2665
22:56:58,10,999,499,588,576,2662
22:56:59,10,999,495,587,942,3023
22:57:00,10,999,498,588,874,2959
22:57:01,10,999,498,588,886,2971
22:57:02,10,999,499,587,863,2948
22:57:03,10,999,496,588,931,3014
22:57:04,10,999,498,588,968,3053
22:57:05,10,999,495,587,859,2940
22:57:06,10,999,500,587,894,2980
22:57:07,10,999,493,587,932,3011
22:57:08,10,999,494,587,927,3007
22:57:09,10,999,487,587,886,2959
22:57:10,10,999,492,586,854,2931
22:57:11,10,999,492,586,886,2963
22:57:12,10,999,502,586,882,2969
22:57:13,10,999,489,585,883,2956
22:57:14,10,999,500,585,912,2996
22:57:15,10,1000,501,585,855,2941
22:57:16,10,999,490,584,897,2970
22:57:17,10,999,496,584,922,3001
22:57:18,10,999,488,583,890,2960
22:57:19,10,1000,492,582,946,3020
22:57:20,10,1000,487,582,308,2377
22:57:21,10,999,497,582,473,2551
22:57:22,10,999,495,581,477,2552
22:57:23,10,999,496,582,547,2624
22:57:24,10,999,491,581,721,2792
22:57:25,10,998,492,580,368,2438
22:57:26,10,998,485,580,480,2543
22:57:27,10,997,499,579,512,2587
22:57:28,10,998,477,579,562,2616
22:57:29,10,998,501,578,474,2551
22:57:30,10,998,492,578,496,2564
22:57:31,10,998,487,578,453,2516
22:57:32,10,998,492,578,408,2476
22:57:33,10,998,496,578,509,2581
22:57:34,10,998,493,577,405,2473
22:57:35,10,998,493,578,442,2511
22:57:36,10,998,490,578,595,2661
22:57:37,10,998,495,578,412,2483
22:57:38,10,998,500,578,405,2481
22:57:39,10,998,486,579,551,2614
22:57:40,10,998,467,579,479,2523
22:57:41,10,998,494,579,409,2480
22:57:42,10,0,0,0,0,0
22:57:43,10,998,498,588,528,2612
22:57:44,10,0,0,0,0,0
22:57:45,10,999,495,591,413,2498
22:57:46,10,999,487,591,546,2623
22:57:47,10,998,496,589,465,2548
22:57:48,10,998,487,589,460,2534
22:57:49,10,999,498,588,514,2599
22:57:50,10,998,483,588,475,2544
22:57:51,10,998,493,587,537,2615
22:57:52,10,999,481,587,354,2421
22:57:53,10,998,490,585,499,2572
22:57:54,10,998,447,583,567,2595
22:57:55,10,999,422,583,336,2340
22:57:56,10,998,498,583,329,2408
22:57:57,10,998,499,582,505,2584
22:57:58,10,998,479,580,454,2511
22:57:59,10,999,539,579,408,2525
22:58:00,10,999,490,579,546,2614
22:58:01,10,998,504,578,577,2657
22:58:02,10,998,490,578,873,2939
22:58:03,10,999,509,577,887,2972
22:58:04,10,999,495,576,942,3012
22:58:05,10,999,487,576,878,2940
22:58:06,10,999,487,575,931,2992
22:58:07,10,998,490,574,929,2991
22:58:08,10,999,493,574,906,2972
22:58:09,10,999,492,574,843,2908
22:58:10,10,999,496,574,938,3007
22:58:11,10,999,491,573,913,2976
22:58:12,10,999,492,573,900,2964
22:58:13,10,999,493,573,900,2965
22:58:14,10,999,504,573,926,3002
22:58:15,10,998,488,573,876,2935
22:58:16,10,0,0,0,0,0
22:58:17,10,999,490,574,855,2918
22:58:18,10,999,491,574,945,3009
22:58:19,10,998,489,573,898,2958
22:58:20,10,998,493,573,867,2931
22:58:21,10,999,492,574,888,2953
22:58:22,10,999,493,574,898,2964
22:58:23,10,999,490,574,882,2945
22:58:24,10,999,491,574,900,2964
22:58:25,10,999,481,574,907,2961
22:58:26,10,999,493,573,890,2955
22:58:27,10,999,496,573,906,2974
22:58:28,10,999,489,573,958,3019
22:58:29,10,999,488,573,831,2891
22:58:30,10,999,499,572,888,2958
22:58:31,10,999,492,572,926,2989
22:58:32,10,999,491,572,921,2983
22:58:33,10,999,493,571,922,2985
22:58:34,10,0,0,0,0,0
22:58:35,10,999,491,570,439,2499
22:58:36,10,999,496,570,471,2536
22:58:37,10,999,488,569,621,2677
22:58:38,10,999,491,569,519,2578
22:58:39,10,1000,486,568,435,2489
22:58:40,10,999,489,568,528,2584
22:58:41,10,999,492,567,550,2608
22:58:42,10,999,490,567,469,2525
22:58:43,10,999,493,567,568,2627
22:58:44,10,999,505,566,434,2504
22:58:45,10,999,498,566,404,2467
22:58:46,10,999,492,565,465,2521
22:58:47,10,999,496,565,661,2721
22:58:48,10,999,493,564,423,2479
22:58:49,10,999,493,564,447,2503
22:58:50,10,999,492,564,523,2578
22:58:51,10,1000,499,563,489,2551
